created_utc,model,dataset,concurrency,data_num,ttft_ms,tpot_ms,total_output_throughput_token_s,throughput_per_gpu_token_s,ttft_sla_ms,tpot_sla_ms,sla_status,observed_max_concurrency,concurrency_matched,success_requests,failed_requests,run_dir,request_rate,max_running_requests
2026-09-06T05:23:31.944726+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,4,16,1269.6,17.3,220.6679,27.5835,4000.0,20.0,PASS,4,True,16,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T052102963497Z_c4,8,64
2026-09-06T05:26:10.381021+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,8,32,1874.2,19.5,384.5168,48.0646,4000.0,20.0,PASS,8,True,32,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T052332992883Z_c8,8,64
2026-09-06T05:29:17.012492+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,12,48,3069.4,23.2,475.6951,59.4619,4000.0,20.0,FAIL_TPOT,12,True,48,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T052611014085Z_c12,8,64
2026-09-06T05:32:25.021103+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,16,64,3251.3,23.3,625.1443,78.143,4000.0,20.0,FAIL_TPOT,16,True,64,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T052917034953Z_c16,8,64
2026-09-06T05:35:55.642238+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,20,80,4095.4,26.9,673.049,84.1311,4000.0,20.0,FAIL_BOTH,20,True,80,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T053225063094Z_c20,8,64
2026-09-06T05:39:30.126675+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,24,96,4441.0,26.7,805.7677,100.721,4000.0,20.0,FAIL_BOTH,24,True,96,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T053557089873Z_c24,8,64
2026-09-06T05:43:25.852509+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,28,112,5130.1,29.9,837.0727,104.6341,4000.0,20.0,FAIL_BOTH,28,True,112,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T053931116065Z_c28,8,64
2026-09-06T05:47:25.360510+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,32,128,5566.3,29.8,950.9624,118.8703,4000.0,20.0,FAIL_BOTH,32,True,128,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T054327141509Z_c32,8,64
2026-09-06T05:51:45.618814+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,36,144,5616.7,33.1,969.6208,121.2026,4000.0,20.0,FAIL_BOTH,36,True,144,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T054727168416Z_c36,8,64
2026-09-06T05:56:07.042319+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,40,160,6270.7,32.9,1071.2736,133.9092,4000.0,20.0,FAIL_BOTH,40,True,160,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T055147195249Z_c40,8,64
2026-09-06T06:00:43.053557+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,44,176,6241.1,35.4,1103.7836,137.9729,4000.0,20.0,FAIL_BOTH,44,True,176,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T055607223306Z_c44,8,64
2026-09-06T06:05:19.232164+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,48,192,6044.2,35.6,1196.428,149.5535,4000.0,20.0,FAIL_BOTH,48,True,192,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T060043245993Z_c48,8,64
2026-09-06T06:10:16.246589+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,52,208,6754.7,38.7,1190.9249,148.8656,4000.0,20.0,FAIL_BOTH,52,True,208,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T060519273176Z_c52,8,64
2026-09-06T06:15:16.306907+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,56,224,7238.3,38.7,1276.1291,159.5161,4000.0,20.0,FAIL_BOTH,56,True,224,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T061017298972Z_c56,8,64
2026-09-06T06:20:32.032766+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,60,240,7848.1,41.1,1282.4146,160.3018,4000.0,20.0,FAIL_BOTH,60,True,240,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T061517331652Z_c60,8,64
2026-09-06T06:25:52.735430+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,64,256,8463.3,40.8,1364.9952,170.6244,4000.0,20.0,FAIL_BOTH,64,True,256,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T062033366998Z_c64,8,64
2026-09-06T06:53:01.513452+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,4,16,4339.3,19.8,165.8895,20.7362,10000.0,20.0,PASS,4,True,16,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T065046923211Z_c4,8,64
2026-09-06T06:55:49.721508+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,8,32,8334.6,24.5,244.4764,30.5596,10000.0,20.0,FAIL_TPOT,8,True,32,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T065302947731Z_c8,8,64
2026-09-06T06:59:17.562299+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,12,48,10677.2,32.6,278.2886,34.7861,10000.0,20.0,FAIL_BOTH,12,True,48,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T065550973365Z_c12,8,64
2026-09-06T07:03:10.793745+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,16,64,12342.5,37.1,324.0862,40.5108,10000.0,20.0,FAIL_BOTH,16,True,64,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T065919005691Z_c16,8,64
2026-09-06T07:07:43.508066+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,20,80,13784.8,45.5,337.9948,42.2493,10000.0,20.0,FAIL_BOTH,20,True,80,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T070311027821Z_c20,8,64
2026-09-06T07:12:44.720034+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,24,96,14816.5,50.6,366.8289,45.8536,10000.0,20.0,FAIL_BOTH,24,True,96,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T070745059954Z_c24,8,64
2026-09-06T07:18:21.309125+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,28,112,15860.2,59.0,373.5579,46.6947,10000.0,20.0,FAIL_BOTH,28,True,112,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T071245093788Z_c28,8,64
2026-09-06T07:24:27.248943+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,32,128,16980.0,64.1,394.7274,49.3409,10000.0,20.0,FAIL_BOTH,32,True,128,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T071823142173Z_c32,8,64
2026-09-06T07:31:28.335919+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,36,144,17578.8,74.4,379.9002,47.4875,10000.0,20.0,FAIL_BOTH,36,True,144,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T072429178622Z_c36,8,64
2026-09-06T07:39:17.433134+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,40,160,24373.5,78.3,375.8488,46.9811,10000.0,20.0,FAIL_BOTH,40,True,160,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T073129218521Z_c40,8,64
2026-09-06T07:47:38.895206+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,44,176,33267.8,78.6,385.0016,48.1252,10000.0,20.0,FAIL_BOTH,44,True,176,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T073919255917Z_c44,8,64
2026-09-06T07:56:56.934431+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,48,192,43323.6,79.6,374.3177,46.7897,10000.0,20.0,FAIL_BOTH,48,True,192,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp/mr_64/glm_5_2_awq_int4/dataset_16k_p0/20260906T074739298172Z_c48,8,64
