created_utc,model,dataset,concurrency,data_num,ttft_ms,tpot_ms,total_output_throughput_token_s,throughput_per_gpu_token_s,ttft_sla_ms,tpot_sla_ms,sla_status,observed_max_concurrency,concurrency_matched,success_requests,failed_requests,run_dir,request_rate,max_running_requests
2026-09-06T08:53:41.046398+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,4,16,1453.9,14.5,259.7997,32.475,4000.0,20.0,PASS,4,True,16,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_8/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T085128768241Z_c4,0,8
2026-09-06T08:56:35.441776+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,8,32,5711.2,17.3,349.5866,43.6983,4000.0,20.0,FAIL_TTFT,8,True,32,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_8/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T085342832004Z_c8,0,8
2026-09-06T09:00:30.792240+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,12,48,20423.5,17.5,361.818,45.2272,4000.0,20.0,FAIL_TTFT,12,True,48,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_8/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T085636859691Z_c12,0,8
2026-09-06T09:05:43.646470+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,16,64,35025.9,17.5,347.4694,43.4337,4000.0,20.0,FAIL_TTFT,16,True,64,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_8/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T090030889539Z_c16,0,8
2026-09-06T09:11:58.308501+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,20,80,49562.2,17.5,356.5924,44.574,4000.0,20.0,FAIL_TTFT,20,True,80,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_8/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T090544940320Z_c20,0,8
2026-09-06T09:19:16.047317+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,24,96,64145.9,17.6,361.6678,45.2085,4000.0,20.0,FAIL_TTFT,24,True,96,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_8/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T091158978375Z_c24,0,8
2026-09-06T09:27:33.580419+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,28,112,78776.9,17.6,368.0184,46.0023,4000.0,20.0,FAIL_TTFT,28,True,112,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_8/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T091917018572Z_c28,0,8
2026-09-06T09:39:43.487418+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,4,16,1464.2,14.5,259.2198,32.4025,4000.0,20.0,PASS,4,True,16,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_16/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T093729339772Z_c4,0,16
2026-09-06T09:42:11.076715+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,8,32,2432.2,17.5,419.9008,52.4876,4000.0,20.0,PASS,8,True,32,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_16/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T093945368284Z_c8,0,16
2026-09-06T09:44:56.134919+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,12,48,3263.7,19.8,548.3663,68.5458,4000.0,20.0,PASS,12,True,48,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_16/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T094211424135Z_c12,0,16
2026-09-06T09:48:26.172757+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,16,64,6078.6,22.0,554.6429,69.3304,4000.0,20.0,FAIL_BOTH,16,True,64,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_16/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T094457447515Z_c16,0,16
2026-09-06T09:52:37.778816+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,20,80,15660.4,22.2,558.8217,69.8527,4000.0,20.0,FAIL_BOTH,20,True,80,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_16/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T094827475683Z_c20,0,16
2026-09-06T09:57:27.687999+00:00,GLM-5.2-W4AFP8,dataset_3_5k_p0,24,96,24036.6,22.1,570.7641,71.3455,4000.0,20.0,FAIL_BOTH,24,True,96,0,/home/coder/workspace/services/llm_eval/output/huawei_cmp_3_5k/request_rate_0/mr_16/glm_5_2_w4afp8/dataset_3_5k_p0/20260906T095239508018Z_c24,0,16
