created_utc,model,dataset,concurrency,data_num,ttft_ms,tpot_ms,total_output_throughput_token_s,throughput_per_gpu_token_s,ttft_sla_ms,tpot_sla_ms,sla_status,observed_max_concurrency,concurrency_matched,success_requests,failed_requests,run_dir,request_rate,max_running_requests
2026-09-06T04:03:40.379215+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,4,16,3000.6,9.3,348.5447,43.5681,4000.0,20.0,PASS,4,True,16,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T040151480272Z_c4,8,8
2026-09-06T04:05:23.332896+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,8,32,1023.7,10.6,685.6095,85.7012,4000.0,20.0,PASS,8,True,32,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T040341497375Z_c8,8,8
2026-09-06T04:07:37.562421+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,12,48,8455.1,10.6,702.2175,87.7772,4000.0,20.0,FAIL_TTFT,12,True,48,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T040523521022Z_c12,8,8
2026-09-06T04:10:31.346113+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,16,64,16014.6,10.7,704.4192,88.0524,4000.0,20.0,FAIL_TTFT,16,True,64,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T040739540715Z_c16,8,8
2026-09-06T04:13:59.588079+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,20,80,23611.0,10.9,694.5292,86.8161,4000.0,20.0,FAIL_TTFT,20,True,80,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T041031563235Z_c20,8,8
2026-09-06T04:18:02.567712+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,24,96,31407.5,10.9,695.5216,86.9402,4000.0,20.0,FAIL_TTFT,24,True,96,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T041401589362Z_c24,8,8
2026-09-06T04:22:44.005866+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,28,112,39027.6,11.0,691.434,86.4292,4000.0,20.0,FAIL_TTFT,28,True,112,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T041803617451Z_c28,8,8
2026-09-06T04:27:59.498950+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,32,128,46757.4,11.0,693.3219,86.6652,4000.0,20.0,FAIL_TTFT,32,True,128,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T042245649025Z_c32,8,8
2026-09-06T04:33:46.320983+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,36,144,54258.9,11.0,695.2823,86.9103,4000.0,20.0,FAIL_TTFT,36,True,144,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T042759676178Z_c36,8,8
2026-09-06T04:40:10.273498+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,40,160,61649.9,11.0,698.1392,87.2674,4000.0,20.0,FAIL_TTFT,40,True,160,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T043347712581Z_c40,8,8
2026-09-06T04:47:11.217752+00:00,GLM-5.2-AWQ-INT4,dataset_3_5k_p0,44,176,69410.2,11.0,693.6051,86.7006,4000.0,20.0,FAIL_TTFT,44,True,176,0,/home/coder/workspace/services/llm_eval/output/max_running_requests/request_rate_8/mr_8/glm_5_2_awq_int4/dataset_3_5k_p0/20260906T044011748954Z_c44,8,8
