created_utc,model,dataset,concurrency,data_num,ttft_ms,tpot_ms,total_output_throughput_token_s,throughput_per_gpu_token_s,ttft_sla_ms,tpot_sla_ms,sla_status,observed_max_concurrency,concurrency_matched,success_requests,failed_requests,run_dir
2026-09-05T14:22:29.429568+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,4,16,5227.9,12.9,220.3083,27.5385,20000.0,20.0,PASS,4,True,16,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T142016403954Z_c4
2026-09-05T14:24:21.575035+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,8,32,3107.3,16.1,412.1984,51.5248,20000.0,20.0,PASS,8,True,32,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T142230420355Z_c8
2026-09-05T14:26:28.108555+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,12,48,2504.1,19.3,534.8579,66.8572,20000.0,20.0,PASS,12,True,48,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T142422439417Z_c12
2026-09-05T14:28:40.100909+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,16,64,2865.6,20.6,666.7293,83.3412,20000.0,20.0,FAIL_TPOT,16,True,64,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T142628456516Z_c16
2026-09-05T14:33:20.524456+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,20,80,18135.8,41.3,330.5083,41.3135,20000.0,20.0,FAIL_TPOT,20,True,80,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T142840476026Z_c20
2026-09-05T14:38:51.659374+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,24,96,28853.8,41.9,331.1126,41.3891,20000.0,20.0,FAIL_BOTH,24,True,96,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T143322512749Z_c24
2026-09-05T14:45:07.618680+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,28,112,38982.3,42.3,335.0013,41.8752,20000.0,20.0,FAIL_BOTH,28,True,112,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T143852547859Z_c28
2026-09-05T15:06:22.588616+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,20,80,12744.5,47.9,327.4621,40.9328,20000.0,20.0,FAIL_TPOT,20,True,80,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T150111814820Z_c20
2026-09-05T15:26:04.037393+00:00,GLM-5.2-AWQ-INT4,dataset_128k_p90,16,64,11142.6,37.5,328.2678,41.0335,20000.0,20.0,FAIL_TPOT,16,True,64,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_128k_p90/20260905T152145758750Z_c16
2026-09-05T15:53:53.024748+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,32,128,13385.4,76.4,353.1737,44.1467,10000.0,20.0,FAIL_BOTH,32,True,128,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_16k_p0/20260905T154704161950Z_c32
2026-09-05T16:01:11.016353+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,36,144,13789.9,84.8,363.7443,45.468,10000.0,20.0,FAIL_BOTH,36,True,144,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_16k_p0/20260905T155354191420Z_c36
2026-09-05T16:09:11.417439+00:00,GLM-5.2-AWQ-INT4,dataset_16k_p0,40,160,14630.4,94.6,364.892,45.6115,10000.0,20.0,FAIL_BOTH,40,True,160,0,/home/coder/workspace/services/llm_eval/output/glm_5_2_awq_int4/dataset_16k_p0/20260905T160112236273Z_c40
